bigram,Pathogen,
enceph_viru,Ignore,Encephilitis is caused by many things
fever_viru,Ignore,Many things  break this up
respiratori_syndrom,Ignore,Many things  break this up
hemorrhag_fever,Ignore,Many things - break this up
porcin_reproduct,Ignore,Pig virus  not super interesting
porcin_epidem,Ignore,Pig virus not super interesting
viru_pedv,Ignore,Pig virus not super interesting
middl_east,Ignore,Probably MERS  but there are better bigrams
east_respiratori,Ignore,Probably MERS  but there are better bigrams
cov_infect,Ignore,Too general
escherichia_coli,Escherichia coli,
mycobacterium_tuberculosi,Mycobacterium tuberculosis,
staphylococcu_aureu,Staphylococcus aureus,
influenza_viru,Influenza Virus,
influenza_virus,Influenza Virus,
vibrio_cholera,Vibrio cholerae,
viru_hbv,Hepatitis B,
immunodefici_viru,Human Immunodeficy Virus,
human_immunodefici,Human Immunodeficy Virus,
viru_hcv,Hepatitis C,
salmonella_enterica,Salmonella Enterica,
klebsiella_pneumonia,Klebsiella pneumonia,
hiv_infect,Human Immunodeficy Virus,
human_papillomaviru,Human Papillomavirus,
hbv_infect,Hepatitis B,
tuberculosi_isol,Mycobacterium tuberculosis,
mrsa_isol,Staphylococcus aureus,
coli_isol,Escherichia coli,
acinetobact_baumannii,Acinetobact baumannii,
dengu_viru,Dengue virus,
pseudomona_aeruginosa,Pseudomona aeruginosa,
produc_escherichia,Escherichia coli,
aureu_isol,Staphylococcus aureus,
sar_cov,SARS Coronavirus,
helicobact_pylori,Helicobacter pylori,
papillomaviru_hpv,Human Papillomavirus,
enterococcu_faecium,Helicobact pylori,
viru_hev,Hepatitis E,
west_nile,West nile virus,
nile_viru,West nile virus,
neisseria_meningitidi,Neisseria meningitidis,
yersinia_pesti,Yersinia pestis,
sar_coronaviru,SARS Coronavirus,
syndrom_coronaviru,SARS Coronavirus,
coronaviru_sar,SARS Coronavirus,
hpv_infect,Human Papillomavirus,
cholera_isol,Vibrio cholerae,
baumannii_isol,Acinetobact baumannii,
vibrio_parahaemolyticu,Vibrio parahaemolyticus,
aeruginosa_isol,Pseudomona aeruginosa,
listeria_monocytogen,Listeria monocytogenes,
clostridium_difficil,Clostridium difficile,
produc_klebsiella,Klebsiella pneumonia,
hev_infect,Hepatitis E,
ebola_viru,Ebola virus,
human_rotaviru,Human rotavirus,
mer_cov,MERS coronavirus,
viru_hav,Hepatitis A,
viral_hepat,Heptatis - General,
legionella_pneumophila,Legionella pneumophila,
salmonella_typhimurium,Salmonella typhimurium,
zika_viru,Zika virus,
chlamydia_trachomati,Chlamydia trachomatis,
coronaviru_mer,MERS coronavirus,
viru_denv,Dengue virus,
herp_simplex,Human herpesvirus,
bacillu_anthraci,Bacillus anthracis,